meeting_id,agenda_id,meeting_date,section,agenda_order,file_number,title,item_url,attachment_count
3347,3089,5/12/2026 2:00 PM,,1,26-671,Mayor Out of Town Travel 5/5-5/6/2026,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29975&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,2,26-672,"Bisharo Ali, Dba Najah Broadway Market Lease Extension Agreement (FI)",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29963&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,3,26-673,Juicey Quartz Juice Bar - Broadway Market Lease,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29964&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,4,26-674,Regarding the Granting of an Easement in Connection with the Development of the North Aud Block (Fillmore District),https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29992&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,5,26-675,"Permission to Enter into Use Agreements with Several Community Partners at the Four (4) City of Buffalo Community Centers Located at 2056 Genesee, 2057 Genesee, 24 Ludington and 1168 Seneca",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29965&CssClass=,9
3347,3089,5/12/2026 2:00 PM,,6,26-676,"Planning Board Findings for April 20, 2026; ""765 Hertel Avenue Zoning Map Amendment"", ""1462 Main Street Special Use Permit"", ""1048 Clinton Street Special Use Permit"", ""810 Elmwood Avenue Special Use Permit"", ""98 Rhode Island Special Use Permit"", and 2480 Delaware Avenue Special Use Permit"".",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29966&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,7,26-677,Polling Location Lease Agreement - 129 Lewis Street (FI),https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29946&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,8,26-678,School 44 on Broadway PILOT (Fillmore District),https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29972&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,9,26-679,Submission of Monthly Report (311 Calls) April 2026,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29978&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,10,26-680,Certificate of Necessity- Safe Streets,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29954&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,11,26-681,"Appoint Data Specialist I (Prov)(Inter)(Schultz)(58,482)AMENDED",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29939&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,12,26-682,"Change Order #1 $6,948.00 - Alleyway Theatre - Weaver Metal & Roofing Incorporated",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29952&CssClass=,1
3347,3089,5/12/2026 2:00 PM,,13,26-683,"Change Order #1 $2,643.68 – Dorothy J Collier CC Yr 49 Improvements-GC – Allstate General Contracting",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29969&CssClass=,1
3347,3089,5/12/2026 2:00 PM,,14,26-684,"Change Order – Bailey Complete Street Phase 1 - PIN 5763.19 - Watts - $298,606",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29957&CssClass=,1
3347,3089,5/12/2026 2:00 PM,,15,26-685,"Change Order – Hertel Avenue Landscaping Improvements - Group 1059 Phase 2 – Landscape Associate of WNY, Inc - $12,465.45",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29958&CssClass=,1
3347,3089,5/12/2026 2:00 PM,,16,26-686,Encroachment in City Right of Way- Proposed Handicap Ramp & Stair Entry at 1273 Niagara Street,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29947&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,17,26-687,Encroachment in City Right of Way - Proposed Stair Entry at 1277 Niagara Street (Auburn),https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29948&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,18,26-688,Report of Bids - CDBG YR-51 Citywide Curb and Sidewalk Replacement - Group 1143A,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29956&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,19,26-689,Report of Bids Colonel Ward WTP Disinfection Conversion – Plumbing Contract - Quackenbush,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29967&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,20,26-690,Retention Reduction – Colonel Ward Electrical Upgrade Project - 93002903 – Frey Electric,https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29949&CssClass=,1
3347,3089,5/12/2026 2:00 PM,,21,26-691,"AMENDED Notice of Appointment - Equipment Operator - (Perm)(Int - $42,385) Militello",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29644&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,22,26-692,"Notice of Appointment - Associate Account Clerk - (Perm)(Inter $47,955) Hampton",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29811&CssClass=,2
3347,3089,5/12/2026 2:00 PM,,23,26-693,"Notice of Appointment - Caulker Supervisor I - (Temp)(Inter - $60,615) Berdych",https://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=3347&MediaPosition=&ID=29810&CssClass=,2
